Date,Price,Open,High,Low,Vol,Change %
5/22/2024,0.5286,0.5372,0.5382,0.5266,517000000,-1.61%
5/21/2024,0.5372,0.5377,0.5565,0.5321,812410000,-0.09%
5/20/2024,0.5377,0.5096,0.5379,0.5067,672450000,5.49%
5/19/2024,0.5097,0.5213,0.5234,0.5071,209990000,-2.22%
5/18/2024,0.5212,0.5234,0.5256,0.5188,171860000,-0.41%
5/17/2024,0.5234,0.5156,0.5287,0.5137,456520000,1.52%
5/16/2024,0.5156,0.5189,0.5222,0.5125,540830000,-0.66%
5/15/2024,0.519,0.5001,0.5195,0.4975,515400000,3.79%
5/14/2024,0.5,0.5053,0.5123,0.4975,506210000,-1.02%
5/13/2024,0.5052,0.4993,0.5114,0.4869,507800000,1.16%
5/12/2024,0.4993,0.5059,0.5084,0.4969,174990000,-1.30%
5/11/2024,0.5059,0.5021,0.5074,0.5007,188090000,0.76%
5/10/2024,0.5021,0.5209,0.5209,0.4979,587730000,-3.63%
5/9/2024,0.521,0.517,0.5237,0.5092,480480000,0.78%
5/8/2024,0.517,0.5247,0.5292,0.5155,563970000,-1.47%
5/7/2024,0.5247,0.5399,0.5441,0.5219,501070000,-2.82%
5/6/2024,0.54,0.5295,0.5692,0.5251,907570000,1.98%
5/5/2024,0.5295,0.5301,0.5332,0.5241,212250000,-0.12%
5/4/2024,0.5301,0.5316,0.5407,0.5275,298360000,-0.27%
5/3/2024,0.5316,0.5179,0.5364,0.5146,578900000,2.64%
5/2/2024,0.5179,0.5174,0.5244,0.5068,580800000,0.12%
5/1/2024,0.5173,0.5006,0.5211,0.4795,813120000,3.38%
4/30/2024,0.5004,0.515,0.5197,0.4889,681900000,-2.86%
4/29/2024,0.5151,0.5102,0.5174,0.4987,568120000,0.98%
4/28/2024,0.5101,0.5179,0.5252,0.5087,240320000,-1.49%
4/27/2024,0.5179,0.5261,0.5264,0.5103,347310000,-1.56%
4/26/2024,0.526,0.5254,0.5357,0.5148,585490000,0.12%
4/25/2024,0.5254,0.5275,0.5325,0.5141,622310000,-0.39%
4/24/2024,0.5275,0.5445,0.5518,0.5218,731070000,-3.13%
4/23/2024,0.5445,0.556,0.5574,0.5419,647390000,-2.11%
4/22/2024,0.5562,0.5246,0.5709,0.5225,801630000,6.04%
4/21/2024,0.5246,0.5288,0.5364,0.5188,377990000,-0.81%
4/20/2024,0.5288,0.503,0.5299,0.4987,563490000,5.19%
4/19/2024,0.5028,0.5025,0.5106,0.4677,11000000000,0.04%
4/18/2024,0.5025,0.4884,0.5052,0.4858,685300000,1.21%
4/16/2024,0.4965,0.4976,0.5017,0.4771,830950000,-0.22%
4/15/2024,0.4976,0.5034,0.5187,0.4815,10500000000,-1.16%
4/14/2024,0.5034,0.4782,0.5072,0.4643,13500000000,5.26%
4/13/2024,0.4783,0.547,0.5488,0.4312,18900000000,-12.57%
4/12/2024,0.547,0.6085,0.6156,0.5168,14000000000,-10.10%
4/11/2024,0.6085,0.6172,0.6214,0.6032,512400000,-1.41%
4/10/2024,0.6172,0.6141,0.6201,0.5958,629230000,0.51%
4/9/2024,0.6141,0.6151,0.6418,0.6016,908050000,-0.16%
4/8/2024,0.6151,0.5946,0.6259,0.5887,718360000,3.45%
4/7/2024,0.5946,0.5929,0.6023,0.5896,292690000,0.28%
4/6/2024,0.5929,0.5872,0.5984,0.5853,237380000,0.98%
4/5/2024,0.5872,0.5931,0.5951,0.5692,624540000,-1.01%
4/4/2024,0.5931,0.5741,0.6145,0.5626,977920000,3.35%
4/3/2024,0.5739,0.5853,0.5962,0.5667,726640000,-1.94%
4/2/2024,0.5853,0.611,0.618,0.5798,918620000,-4.21%
4/1/2024,0.611,0.6291,0.6328,0.5954,753070000,-2.87%
